,연도,육류 수요 (천t),육류 공급 계,육류 생산 계,쇠고기,돼지고기,닭고기,육류 수입,1인당 소비량 계,1인당 소비 쇠고기(kg),1인당 소비 돼지고기(kg),1인당 소비 닭고기(kg),육류 자급률(%),계란 생산 및 소비,계란 1인당 소비량(개),우유 수요(천t),우유 공급 계,우유 생산,우유 수입,우유 차년 이월,우유 1인당 소비량(KG)
0,1980,433,437,424,93,239,92,13,11.3,2.6,6.3,2.4,97.8,4543,119,412,474,452,,62,10.8
1,1985,593,599,590,118,346,126,9,14.4,2.9,8.4,3.1,99.7,5390,131,991,1047,1006,2.0,57,23.8
2,1990,859,864,775,95,508,172,89,19.9,4.1,11.8,4.0,90.0,7151,167,1879,1902,1752,,23,42.8
3,1995,1246,1258,1059,155,639,265,199,27.4,6.7,14.8,5.9,84.6,8261,184,2144,2210,2014,196.0,66,47.8
4,1999,1511,1557,1177,240,701,236,380,30.5,8.4,16.1,6.0,78.8,8395,180,2747,2796,2244,456.0,44,58.6
5,2000,1509,1583,1189,214,714,261,394,31.9,8.5,16.5,6.9,78.8,8682,184,2812,2936,2253,640.0,124,59.2
6,2003,1627,1711,1212,142,783,287,499,31.7,8.1,17.3,7.9,70.8,9145,191,3037,3131,2366,604.0,94,62.4
7,2004,1524,1550,1176,145,749,287,374,31.3,6.8,17.9,6.6,79.3,9236,193,3123,3191,2255,842.0,68,63.7
8,2005,1512,1603,1170,152,701,301,433,32.1,6.6,17.8,7.5,71.0,10366,220,3079,3195,2229,898.0,116,62.7
9,2006,1622,1640,1176,158,677,349,464,33.6,6.8,18.1,8.6,72.2,10748,223,3122,3175,2176,883.0,53,63.6
10,2007,1716,1750,1251,171,706,280,499,35.4,7.6,19.2,8.6,71.5,10876,226,3102,3209,2188,968.0,107,63.0
11,2008,1728,1769,1260,174,709,377,509,35.4,7.5,19.1,9.0,71.7,10838,224,3035,3131,2139,885.0,96,61.3
12,2009,1809,1808,1329,198,722,409,479,36.8,8.1,19.1,9.6,71.0,11614,238,3110,3165,2110,959.0,55,62.3
13,2010,1910,1910,1386,186,764,436,524,38.8,8.8,19.3,10.7,68.2,11582,236,3249,3263,2073,1135.0,13,64.9
14,2011,2036,2036,1246,216,574,456,790,40.6,10.2,19.0,11.4,60.8,11462,232,3596,3614,1889,1712.0,18,70.7
15,2012,2107,2107,1448,234,750,464,659,40.5,9.7,19.2,11.6,66.7,12090,242,3452,3544,2110,1414.0,92,67.2
16,2013,2155,2155,1586,260,853,473,569,42.7,10.3,20.9,11.5,70.8,12090,242,3679,3771,2093,1586.0,93,71.6
17,2014,2136,2136,1619,261,830,528,697,45.1,10.8,21.5,12.8,67.9,12738,254,3757,3990,2214,1683.0,233,72.4
18,2015,2458,2458,1682,255,842,585,776,46.8,10.9,22.5,13.4,67.1,13556,268,3936,4189,2168,1788.0,253,75.7
19,2016,2530,2530,1721,231,891,599,809,49.5,11.6,24.1,13.8,68.0,15593,274,4023,4155,2070,1832.0,132,76.4
20,2017,2536,2536,1691,239,894,558,845,49.1,11.3,24.5,13.3,66.7,12773,248,4199,4306,2058,2116.0,108,79.5
21,2018,2819,2819,1776,237,935,604,1043,53.9,12.7,27.0,14.2,63.0,13818,268,4264,4347,2041,2198.0,108,80.1
