"title","movieInfo","point","review"
"센과 치히로의 행방불명","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=32686&target=after","10",""
"잠복근무","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=39379&target=after","6","지금보니까 하정우가 나온 줄 몰랐네... "
"도굴","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=193194&target=after","1","그냥 최악보는순간 가비지 타임 되는거야 "
"2012","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=49727&target=after","4","희망을 가장한 전혀 희망적이지 않은 재난 영화 "
"승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","9","pc함 흥미진진 한국영화의 성공적인 시도 "
"퍼펙트 케어","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196533&target=after","10","로자먼드 파이크 연기 진짜 너무 최고!!! 정말 지루함 느낄 새도 없이 영화가 진행돼서 좋았어요 넘넘 재밌었습니당 "
"승리호","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=186342&target=after","1","진짜 70년대 영화내용에 00년도 기술에80년대 연기수준보다 낮고진짜 총체적난국이다 "
"이누야시키 : 히어로 VS 빌런","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=169665&target=after","7","만화를 실사화한 작품 중에서 그나마 괜찮았음. "
"엽기적인 그녀 2","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=128273&target=after","1","형님 왜 그러셨어요 ㅠ ㅠ "
"미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189124&target=after","10","일단 너무 재미있었고 완전 웃겼음 배우분들 티키타카가 너무 좋았다.... "
