"title","movieInfo","point","review"
"라이프","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=152633&target=after","5","에이리언의 아류작, 아는 만큼 신선하지 않다. "
"죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183854&target=after","10","나만볼수없다 내금쪽같은금요일밤시간 돌려내 "
"일 포스티노","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=17796&target=after","6","배처럼 파도처럼 시처럼, 그들처럼 "
"바람","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=70773&target=after","10",""
"아무도 모른다","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=38546&target=after","8","아이 같았던 엄마 어른이 되어야 했던 아이,  아무것도 모르는 아이들을 지켜줄 방법을 아무도 모른다... "
"죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=183854&target=after","1","그냥 스토리 이상하고 뭔 말도안되는 전개에 그냥 다 별로다 평점보고 꽤 재밌겠다 했는데 중간에 ㅁ끊을까 고민했다 다음에 다신 볼 일 없을듯 "
"아이 엠 우먼","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=188998&target=after","8","영화가 스토리 영상 음악 모두 감동적이긴 한데, 왠지 자꾸 보헤미안 랩소디가 떠오름. "
"월드워Z","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=51777&target=after","3","미국이나 지들 동맹국들만 정상이고 적대적인 나라면 멍청하고 민폐거나 미친 나라로 그림. 게다가 한국은 진원지임.  지나친 자국중심주의에 재미도 없는 개똥같은 영화. 시간낭비로 느꼈다. "
"싱글라이더","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=146459&target=after","8","약간 지루하지만 기러기아빠는 필히 보세요?가족이 무엇인지??무엇을 위하여 살고있는지?? "
"이터널 윈터 여자 포로수용소","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=178627&target=after","10","여자란 동물에 대해 깨닫게 해 준 영화.  달면 삼키고 쓰면 뱉는다  -여자- "
"클래식","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=35939&target=after","10","명작은 시대가 변해도 명작이라는 것을 보여주는 영화, 단언코 최고입니다. "
"미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=189124&target=after","10","코믹 액션 오랫만에 재미있게 본 영화 "
