,title,link,date,news
0,봄나들이 대신 미식 여행,http://www.aflnews.co.kr/news/articleView.html?idxno=208601,2021.03.18,"['\n외식업계가 봄을 맞아 신메뉴를 선보였다. 코로나19로 봄나들이를 자유롭게 할 수 없는 소비자들이 입 안 가득 봄 미식 여행을 즐길 수 있도록 나선 것이다. 새롭게 선보이는 메뉴들은 봄나물, 봄새싹, 달래 등 봄철 식재료를 다양하게 활용했다.\n\xa0\n\xa0\n\n\n라그릴리아에서 선보인 봄 시즌 메뉴.\n\n\n라그릴리아\nSPC에서 운영하고 있는 라그릴리아는 ‘스프링 고메 트립(Spring gourmet trip)’을 주제로 봄 시즌 메뉴를 선보였다. 딸기, 쭈꾸미, 아스파라거스 등 봄에 어울리는 다양한 식재료를 활용한 것이 특징이다. 특히 ‘쭈꾸미 아라비아따’와 ‘새우&미니 관자 크림 파스타’는 밀키트로도 판매해 집에서도 간편하게 제철 봄 음식을 즐길 수 있도록 했다.\xa0\n딸기 리코타 플랫 피자\n상큼한 리코타치즈에 딸기, 오렌지를 더해 봄날의 향긋함을 담은 시즌 플랫 피자. 달콤한 고구마 크림으로 장식해 풍부한 맛의 향연을 느낄 수 있다. 토핑과 함께 돌돌 말아 한입에 먹으면 더 맛있다.\xa0\n쭈꾸미 아라비아따\n감칠맛 나는 매콤한 토마토소스에 제철 쭈꾸미가 어우러진 파스타. 부드러운 브로콜리니로 식감을 더했다.\xa0\n새우&미니 관자 크림 파스타\n큼직한 새우와 쫄깃한 관자가 조화를 이루는 파스타. 풍성한 해산물, 통마늘과 함께 크림소스의 깊고 진한 풍미를 느낄 수 있다. 밀키트로 집에서도 즐길 수 있다.\n\xa0\n\xa0\n\n\n봄나물을 활용한 제일제면소의 국수.\n\n\n제일제면소\nCJ푸드빌에서 운영하는 제일제면소는 봄철 가볍게 즐길 수 있는 메뉴를 선보였다. ‘제일제면소로 떠나는 향긋한 봄나들이‘를 콘셉트로 봄나물을 활용한 국수 메뉴 3종이다.\n달래 쇠고기 칼국수\n오래 끓여 깊은 맛이 나는 육수에 쇠고기와 향긋한 달래를 풍성하게 얹은 칼국수. 봄 달래의 아삭한 식감과 쫄깃한 칼국수 면이 조화를 이룬다.\n고기 듬뿍 봄나물 비빔면\n비법 양념에 비벼 먹으면 입맛을 돋우는 봄나물 비빔면. 마늘쫑과 함께 볶은 돼지고기와 달래, 부추를 듬뿍 올렸다.\xa0\n봄새싹 육회 골동면\n신선한 육회에 새싹 채소, 달래, 참나물 등 봄채소가 어우러진 육회 골동면. 다양한 나물과 채소를 매콤한 소스와 함께 즐기는 이색 비빔국수다. 양배추와 오이를 넣어 아삭한 식감을 더했다.\n\xa0\n\xa0\n\n\n\n\n\n파스쿠찌\n카페 파스쿠찌는 신선한 과일과 채소를 활용한 봄 시즌 케이크를 론칭했다. 딸기, 블루베리, 당근 등을 활용한 디저트 제품으로, 커피와 잘 어울리는 것이 특징이다. 파스쿠찌는 홀 케이크 딜리버리·픽업 서비스를 전개하고 있어 집에서도 홀케이크를 간편하게 즐길 수 있다.\xa0\n화이트 생크림 케이크\n부드러운 레제르 크림이 올라간 시그니처 생크림 케이크. 촉촉한 화이트 스폰지 생크림 사이사이에 딸기 콤포트와 딸기가 어우러져 달콤하고 깊은 맛을 냈다.\xa0\n더 진한 캐롯케이크\n당근을 듬뿍 넣어 담백한 시트와 진한 크림치즈가 어우러진 캐롯 케이크.\n블루베리 치즈 케이크\xa0\n화이트 치즈무스 사이사이에 오레오쿠키와 블루베리 콤포트가 어우러진 치즈 케이크. 네 가지 색깔로 레이어드된 다크 시트에 베이크드 치즈가 어우러져 깊은 풍미를 냈다.\n\xa0\n\xa0 ']"
1,"지난해 식품 수입 전년대비 금액 0.5%, 물량 0.6% 감소",http://www.aflnews.co.kr/news/articleView.html?idxno=208381,2021.03.12,"['\n[농수축산신문=박현렬 기자]\n지난해 국내로 반입된 수입식품은 166개국으로부터 약 273억 달러, 1833만 톤으로 나타났다.\n식품의약품안전처는 지난 12일 수입동향 발표를 통해 2019년 대비 수입금액은 0.5%(2019년 275억 달러), 중량은 0.6%(2019년 1844톤) 감소했다고 밝혔다.\n수입금액의 경우 2019년 대비 축수산물의 수입금액은 줄었으나 건강기능식품과 기구·용기·포장은 큰 폭으로 증가했다.\n이는 코로나19 장기화에 따라 건강에 대한 관심은 증가한 반면 외식감소·배달음식 증가 등 생활방식의 변화에 따른 것이다.\n수입금액은 미국이 62억4607만 달러로 가장 높았고 중국 46억9763만 달러, 호주 22억9410만 달러, 베트남 12억7395만 달러, 러시아 9억5493만 달러 순이었으며 이들 5개국의 수입금액이 전체 수입금액의 56.6%를 차지했다.\n수입중량은 미국이 419만 톤으로 가장 많았고 이어 중국 300만 톤, 호주 259만 톤, 브라질 126만 톤, 베트남 61만 톤 순이었다. 5개국의 수입량이 전체 수입량의 63.5%에 달했다.\n지난해 수입된 품목은 1859개이며 수입금액은 소고기, 돼지고기, 정제·가공용 원료가, 수입중량은 밀, 정제·가공용 원료, 옥수수가 가장 많이 수입됐다.\n1만 톤 이상 수입된 품목 중 2019년 대비 증가율이 가장 높은 품목은 팜유로 1097.1% 늘었다.\n식약처는 전체 수입국 166개국 중 65개국과 전체 수입품목 1859개 중 211개 품목이 부적합 판정을 받았는데 국가별로 중국이 358건으로 가장 많았고 미국 105건, 베트남 85건, 이탈리아 57건, 인도 43건 순이다.\n부적합 사유로는 기준·규격(함량, 산가 등) 위반이 가장 많았으며 식품첨가물 사용기준(보존료, 색소 등) 위반, 미생물(세균수, 대장균 등) 기준 위반 순으로 나타났다.\n식약처는 부적합된 수입식품 등에 대해 정밀검사를 강화하고 위해도 중심의 집중검사(무작위표본검사)를 실시해 부적합한 수입식품은 국내에 유통되지 않도록 관리하고 있다.\n또한 부적합률이 높은 수입식품은 영업자가 관리하도록 검사명령 대상으로 신규 지정하고 수출국 정부가 생산단계부터 안전관리를 책임지도록 위생약정을 확대하는 등 사전안전관리를 강화할 예정이다.\n한편 2021년 수입식품 검사연보(2020년 수입현황)는 오는 8월 경에 발간되며 수입식품정보마루(impfood.mfds..go.kr)에 게재된다. ']"
2,"즉석제조식품, 자동판매기 통한 판매 시범허용",http://www.aflnews.co.kr/news/articleView.html?idxno=208382,2021.03.12,"['\n[농수축산신문=박현렬 기자]\n무선인식(RFID) 기술이 적용된 자동판매기를 통해 즉석판매제조·가공업소에서 생산한 샐러드, 샌드위치 등의 판매를 허용하는 규제 실증특례 사업이 실시된다.\n이번에 허용되는 사업은 ㈜그랜마찬이 신청한 사업으로 지난 11일에 열린 산업통상자원부 주관의 규제특례 심의위원회에서 심의·의결됨에 따라 2년간 규제특례를 적용받게 된다.\n즉석판매제조·가공식품은 영업소에서 직접 소비자에게 판매를 목적으로 생산·관리됨에 따라 유통기한 설정·자가품질검사 등의 안전규제가 면제 또는 완화돼 영업소 외 유통·판매가 금지돼 있다.\n그러나 이번 규제특례로 사업자가 즉석판매제조·가공업소로부터 샐러드, 샌드위치 등을 공급받고 이를 공유오피스 등에 설치된 자동판매기를 이용해 소비자에게 판매 가능하다.\n다만 자동판매기 판매 식품의 안전성 확보를 위해 유통기한 설정, 자가품질검사 강화 등 식품제조·가공업소 식품에 준하는 위생관리를 받도록 하고 위생관리책임자를 지정하도록 하는 한편 관할 지방자치단체와 함께 현장 지도로 강화할 예정이다.\n식품의약품안전처는 이번 규제 특례로 편의성·다양성 선호 등 소비트렌드 변화에 부응하고 코로나19로 어려움을 겪는 소상공인의 비대면 판로확대에도 기여할 것으로 내다봤다.\n식약처는 국민의 건강에 직결된 규제는 강화하고 기술 발달과 환경변화로 개선이 필요해진 규제는 합리적으로 적극 개선할 방침이다. ']"
3,2021년 직거래장터 지원사업 대상자 모집,http://www.aflnews.co.kr/news/articleView.html?idxno=208384,2021.03.12,"['\n[농수축산신문=박현렬 기자]\n\n\n\n\n\n농림축산식품부와 한국농수산식품유통공사(aT)는 생산자와 소비자에게 이익이 되는 직거래 판로 확대를 위해 2021년 농산물 직거래장터 지원사업 대상자를 모집한다.\n직거래장터 사업 참여를 희망하는 단체·법인은 오는 31일까지 정기적으로 지정된 장소에서 개설하는 ‘정례 직거래장터’에 응모할 수 있으며 관내에 바로마켓 개설을 희망하는 광역자치단체는 다음달 30일까지 ‘바로마켓형 대표장터’에 신청하면 된다.\n직거래장터 사업자로 선정되면 장터 개설에 필요한 시설·장치 설치비용, 홍보·마케팅과 교육·교류비를 정례 장터의 경우 연간 최대 5000만 원, 대표 장터는 5년간 총 11억 원(1년차 3억 원, 2~5년차 2억 원)을 지원 받을 수 있다.\naT가 지원하는 과천 바로마켓은 지난해 코로나19 사태로 정상 개장이 어려운 상황에서도 발 빠르게 드라이브 스루방식으로 전환, 운영했다. 이같은 노력으로 농식품부 산하기관 중 유일하게 일자리위원회로부터 2020년 대한민국 일자리 우수사례로 선정됐다.\naT는 직거래장터 성공모델인 바로마켓을 벤치마킹해 비대면 마케팅·서비스를 강화한 새로운 운영방식을 도입하는 경우 선정평가·배정액에서 우대할 계획이다.\n오정규 aT 유통이사는 “코로나 시대, 변화하는 소비트렌드에 발맞춰 직거래장터 역시 다양한 비대면 운영방식을 적극 도입하고 소비자들이 쉽고 편리하게 우수한 농산물을 구매할 수 있도록 지원하겠다”고 밝혔다.\n\xa0 ']"
4,"김강립 식약처장, 소비자단체와 간담회 개최",http://www.aflnews.co.kr/news/articleView.html?idxno=208383,2021.03.12,"['\n[농수축산신문=박현렬 기자]\n\n\n\n\n\n김강립 식품의약품안전처장은 지난 11일 12개 소비자단체(한국소비자단체협의회, 한국부인회총본부, 소비자교육중앙회, 소비자공익네트워크, 한국소비자연맹, 한국여성소비자연합, 대한어머니회중앙회, 한국소비자교육원, 소비자시민모임, 한국YWCA연합회, 녹색소비자연대, 한국YMCA전국연맹) 대표 등과 서울로얄호텔에서 간담회를 가졌다.\n이번 간담회는 코로나19 백신·치료제와 식의약 안전 현안에 대한 소비자들의 애로사항과 궁금증을 청취하고 백신·치료제 등 올바른 정보를 공유하고자 마련됐다.\n주요 내용은 △2021년 식·의약 안전 주요 정책 △코로나19 백신·치료제 관련 현황 △코로나19 대응을 위한 협력방안 등을 논의한다.\n김 처장은 “식약처의 식의약 안전관리 정책에 소비자단체 등 국민의 다양한 의견을 반영해 소비자 눈높이에 맞는 정책을 추진하겠다”며 “소비자들이 느끼는 현장의 목소리를 최대한 반영해 나가겠다”고 밝혔다.\n\xa0 ']"
5,"식품연, 해외인증등록 참여업체 모집",http://www.aflnews.co.kr/news/articleView.html?idxno=208385,2021.03.12,"['\n[농수축산신문=박현렬 기자]\n\n\n\n\n\n한국식품연구원은 우리 농식품의 해외신뢰도를 향상하고 수출확대를 목적으로 하는 2021 해외인증등록지원사업의 참여업체를 오는 31일까지 모집한다.\n해외인증등록지원사업은 농림축산식품부의 지원을 받아 국내 농식품 수출업체를 대상으로 해외인증 취득에 소요되는 비용의 70%를 지원한다.\n인증에 소요되는 심사비, 컨설팅비, 교육비 등의 비용을 지원하고 업체 당 최대 2000만 원 한도 내에서 신청 가능하다.\n신청기간은 오는 31일까지며 해외식품인증정보포털(www.foodcerti.or.kr)을 통해 신청할 수 있다.\n올해는 수출성장성을 갖춘 업체를 우선 지원할 수 있도록 수출실적 보유업체 예산의 70%를 지원하고 수출준비도가 높은 수출예정 업체에게 30%를 지원할 예정이다.\n더불어 식품연 해외식품인증지원센터에서는 수출기업의 해외시장 진출과 수출 확대 기반을 강화하기 위해 수출정보제공, 기술지원, 분석지원, 인력양성 등의 지원사업도 수행 중이다.\n김영언 식품연 중소기업솔루션센터장은 “코로나19 영향으로 수출업체들이 어려운 시기를 겪고 있다”며 “올해는 해외인증등록지원사업과 함께 수출업체의 애로기술 컨설팅 지원, 소비자 특성·시장동향 조사, 관능평가지원 등 수출시장 진입의 애로사항을 해소하고 대국민 서비스를 강화할 방침”이라고 밝혔다. ']"
6,한식 전문인력 양성기관 지정 신청하세요!,http://www.aflnews.co.kr/news/articleView.html?idxno=208358,2021.03.11,"['\n[농수축산신문=박유신 기자]\n한식·한식산업 관련 교육과정을 개설·운영하는 기관·단체를 대상으로 한식 전문인력 양성기관 지정 신청을 연중 상시 접수한다.\n농림축산식품부와 한식진흥원은 한식·한식산업 관련 교육과정을 개설·운영하는 기관·단체를 대상으로 한식 전문인력 양성기관 지정 신청을 지난 10일부터 연중 상시적으로 받는다고 밝혔다.\n그동안 한식 관련 전문인력의 양성이 중요하다는 의견이 있었으나 한식 관련 교육을 전문적으로 하는 기관이 부족했고, 이에 한식진흥법령 제정을 통해 한식의 진흥과 산업 발전 등을 위한 한식 전문인력 양성기관 지정제를 도입했다.\n지정 대상은 한식·한식산업 관련 교육과정을 개설·운영하는 대학·고등(기술)학교·평생교육기관, 한식·한식산업 관련 비영리법인·직업능력개발훈련시설·학원 등이며, 일정 수준의 교육시설, 전담 강사인력, 교육과정을 갖춘 경우 한식 전문인력 양성기관의 지정을 신청할 수 있다.\n지정 신청 시에는 신청서, 첨부서류 등을 갖춰 한식진흥원에 우편 또는 전자우편으로 접수하면 된다. 심사 결과 한식진흥법 시행령에 규정된 교육시설, 전담 강사인력, 교육과정 등 3개 항목에 대한 지정 요건을 모두 충족하는 경우 한식 전문인력 양성기관으로 지정을 받을 수 있다.\n한식 전문인력 양성기관에는 한식진흥원에서 공모하는 한식 교육과정 지원사업에 신청할 때에 가점을 부여하고, 동 사업 공모를 통해 선정된 기관에는 한식 관련 교육과정 운영 등에 소요되는 경비 일부를 지원할 계획이다.\n자세한 사항은 한식진흥원 누리집(kfpi.hansik.or.kr)과 한식포털 누리집(hansik.or.kr)을 통해 확인할 수 있다.\n이재식 농식품부 외식산업진흥과장은 “한식 전문인력 양성기관 지정을 통해 민간 부문의 한식 관련 교육이 활성화되면 우수한 실력을 갖춘 한식 전문인력이 국내 한식산업 발전을 이끌고 한식의 해외 확산에도 기여할 것으로 기대”며 “한식·한식산업 관련 기관·단체들의 많은 관심과 적극적인 참여를 바란다”고 당부했다.\n\xa0 ']"
7,"aT, 중소농식품기업·소상공인 규제 개선·애로사항 해소 앞장",http://www.aflnews.co.kr/news/articleView.html?idxno=208296,2021.03.11,"['\n[농수축산신문=박현렬 기자]\n\n\n\n\n\n한국농수산식품유통공사(aT)는 지난 8일 중소농식품기업과 소상공인에 대한 불합리한 규제를 해소하기 위해 규제개혁 전담 조직인 aT기업성장응답센터를 출범했다.\naT기업성장응답센터는 정부의 공공기관 기업활력시스템 구축 가이드라인에 따라 설립됐으며 불공정·불합리·부당한 규제로 어려움을 겪는 중소농식품·소상공인이 현장 애로사항을 전달하거나 개선사항을 직접 제안할 수 있는 소통창구로 활용된다.\naT는 전국의 3개 사업소, 11개 지역본부 인프라를 활용해 고객의 접점에서 현장의 어려움을 신속하게 개선한다는 방침이다.\n또한 코로나19 감염확산 방지와 규제 애로 상시 발굴을 위해 aT홈페이지(www.at.or.kr) 내 온라인 신고센터를 구축해 체계적인 온·오프라인 규제개선 시스템을 마련했다.\n신현곤 aT 부사장은 “aT기업성장응답센터 출범으로 농식품 관련 중소기업과 소상공인의 어려움을 덜어주고 혁신성장을 지원하는 체계를 마련했다”며 “우리 농식품 기업과 동반성장할 수 있도록 최선을 다하겠다”고 밝혔다. ']"
8,&apos;쌀가공품 품평회&apos; 개최...4월 2일까지 온라인 접수,http://www.aflnews.co.kr/news/articleView.html?idxno=208178,2021.03.10,"[""\n[농수축산신문=이문예 기자]\n\n\n\n\n\n한국쌀가공식품협회는 맛․품질․상품성을 고루 갖춘 우수 쌀가공품을 선정하는 '2021년 쌀가공품 품평회'를 개최한다.\n쌀가공품 품평회는 농림축산식품부 주최, (사)한국쌀가공식품협회 주관으로 열리는 행사로, 올해로 14년째 개최된다. 떡․면․과자․가공밥․주류․음료 등 다양한 품목에서 올해의 대표 쌀가공품을 선발하고 있다. \n올해는 특히 소비 환경 변화에 따라 평가방식과 특전을 전면 개편했다. 온라인 유통을 연계한 시장성 평가로 심사의 공정성을 높이고, 실질적인 판로개척이 될 수 있도록 특전을 강화했다. 아울러 기존에 최종 선정된 톱(TOP)10 제품으로만 시행하던 온라인 판매 기획전을 MD평가에서 선정된 30개 제품으로 확대했다.\n쌀가공품 TOP10으로 선정된 제품에 대해서는 농식품부 장관상과 부상이 수여되며, ‘쌀가공품 TOP10’ 로고를 부착할 수 있도록 포장지 개선 비용을 업체당 최대 2000만 원까지 지원한다. 그 밖에도 콘텐츠 제작 지원과 국내․외 식품박람회 전시, 매체 홍보 등 다양한 특전이 부여된다.\n출품 가능한 제품은 접수 마감일인 다음달 2일 기준 시판 중인 제품으로, 원료 중 쌀 함량이 30% 이상이어야 한다. 신청업체별 품목 구분 없이 2개 제품까지 출품 가능하며, 한국쌀가공식품협회 홈페이지를 통해 온라인 신청이 가능하다.\n최종 시상등급에 따라 1등 500만 원, 2등 300만 원, 3등~10등 각 200만 원으로 상금이 차등 지급되며, 시상식은 9월에 개최 될 예정이다.\n한국쌀가공식품협회 관계자는 “올해 14회째를 맞이한 쌀가공품 품평회는 산업환경이 어려운 시기에 우수한 쌀가공품을 발굴하고 산업을 이끌 스타상품을 육성하는 등 쌀가공식품산업 발전을 견인하고 있다”며 “특히 올해는 소비환경 변화에 발맞춰 업체에 실질적인 도움을 줄 수 있는 형태로 평가방식을 전면 개편해 다양한 혜택을 누릴 수 있는 좋은 기회인 만큼 쌀가공식품 제조업체의 많은 참여를 기대한다”고 말했다. ""]"
9,한국농식품법인연합회장에 강 용 학사농장 대표,http://www.aflnews.co.kr/news/articleView.html?idxno=208280,2021.03.09,"['\n[농수축산신문=박현렬 기자]\n\n\n\n\n\n(사)한국농식품법인연합회 9대 회장에 강 용 학사농장 대표가 선출됐다.\n신임 강 회장은 최근 대전시 동구 선샤인호텔에서 개최된 2021년 농식품법인연합회 정기총회에서 회장 등 임원진 선출 결과 단일 후보로 참석자 전원이 찬성함에 따라 농식품법인연합회 9대 회장으로 선출됐다.\n강 회장은 한국신지식인농업인회 총무이사, 한국농수산식품교육문화정보원 이사, 친환경농산물자조금관리위원회 위원장 등을 역임했으며 농식품연합회 3~6대 회장으로 활동한 바 있다. 임기는 오는 27일부터 2023년 3월 26일까지 2년 이다.\xa0\n\xa0 ']"
