,title,link,date,news
0,[FOOD & STORY] 대체식품 이슈 트렌드,http://www.aflnews.co.kr/news/articleView.html?idxno=91860,2021.04.09,"['\n  “신용사업과 경제사업이 균형을 맞춰 함께 발전할 수 있도록 농협중앙회에서 30여년 동안 쌓은 업무경험과 노하우를 바탕으로 최선을 다하겠습니다. 특히 조합원에게 실익을 주고 꿈과 희망이 넘치는 협동조합을 만들어 조합원들의 기대에 부흥할 수 있도록 경영합리화를 통한 수익실현과 성과중심의 조직문화정착으로 미래 성장기반을 구축하는 데 총력을 경주하겠습니다.”   이성식 신임 부산축협 상임이사<사진>는 이 같은 취임 소감과 함께 조합원에게 실익이 될 수 있는 사업을 적극 발굴, 안정적인 양축경영을 지원해 나가겠다고 밝혔다.   이 상임이사는 또 “공격적인 신용사업을 통해 전국 최고 수준의 협동조합을 만들도록 노력하겠다”면서 “조합이 안정적으로 발전하기 위해서는 전체 구성원들의 화합과 사업 이용이 중요하다”고 강조했다.   이 상임이사는 동아대 영문과를 졸업했으며 농협사료 지사장, 지점장 등을 두루 거치는 동안 최고의 농협맨으로 평가받았다. 농협활동과 농협발전에 기여한 공을 인정받아 농협중앙회장상, 농림부장관상을 수상한 바 있다. ']"
1,"스타벅스 “2025년까지 탄소 30% 줄이고, 채용은 30% 늘린다”",http://www.aflnews.co.kr/news/articleView.html?idxno=91825,2021.04.06,"['\n  -오는 4월 이천에…新유통모델 시도  롯데마트를 앞으로 고속도로에서도 볼 수 있을 전망이다.   롯데마트는 오는 4월 경기 이천시 마장면에 문을 여는 마장 프리미엄 휴게소에 입점한다고 최근 밝혔다.  롯데마트는 최근 한국도로공사, 휴게소 운영회사인 하이플렉스와 점포 임차계약을 맺은 것으로 알려졌으며 연면적 2만8000㎡ 중 약 2310㎡ 규모로 입점 될 예정이다.  롯데마트 관계자는 “기존매장과 달리 신선식품 비중은 줄이고 전체 매장 면적의 70%를 골프 등 아웃도어 관련 의류 매장으로 꾸미는 것을 검토 중”이라며 “이는 상품구성부터 매장면적까지 일반 대형마트와 다른 새로운 유통모델을 시도해 보는 것”이라고 밝혔다.  또한 명칭도 롯데마트가 아닌 새로운 브랜드를 사용할 수 있다고 마트측은 설명했다.  한편 마장 프리미엄 휴게소에는 롯데마트 외에 골프·스포츠·아웃도어 등 다양한 브랜드, 국내외 외식브랜드, 편의시설 등이 입점할 예정이다. ']"
2,"식품분야 첫 ‘규제과학 인재양성사업’ 기관, 고려대ㆍ중앙대 선정",http://www.aflnews.co.kr/news/articleView.html?idxno=91816,2021.04.05,"['\n민승규 삼성경제연구소 경제정책실장- 농민입장에서 이해하기 위해 농가숙식하며 밤새 고민토론- 농업발전 새로운 경쟁력 찾아야  학창시절 아버지께선 어린 아들을 데리고 산책하시는 걸 무척 좋아하셨다. 그 때 아버지께서 들려 주셨던 말씀 중에 유독 가슴 깊이 새겨져 잊을 수 없는 것이 있다. “얘야! 사람은 머리가 좋아야 한단다. 그런데 머리보다 중요한 것이 마음이란다. 그리고 마음보다는 손이 더 중요하고, 손보다는 발이 더 중요하단다.”   어리둥절한 표정으로 바라보는 아들에게 아버지는 계속해서 말씀을 이어가셨다. “만약 어려운 처지에 놓여 있는 사람을 돕고 싶다면, 너는 무엇을 어떻게 하겠느냐? 물론 ‘머리’로 그런 상황을 이해할 수 있어야 한단다. 하지만 그 사람의 처지를 ‘마음’으로 느끼고 공감하는 것이 더욱 필요하고, 직접 ‘손’을 써서 하나라도 도움이 될 만한 일을 하는 것이 더욱 중요하단다. 그렇지만 무엇보다 중요한 것은 ‘발’이란다. 그 사람의 입장에 서서 세상을 바라 볼 수 있어야 한단다.”  사실 다른 사람의 입장에서 세상을 바라보는 것만큼 어려운 일도 드물다. 농업에 대해 제법 깊은 관심을 가지고 있는 분들 중에서도 간혹 농촌문제를 영화감상 하듯 대하는 분들이 있다. ‘농촌이 정말 어렵구나’, ‘뭐라도 도와주면 좋겠다’라고 느끼지만, 여전히 한 발짝 뒤로 물러서서 남의 일로 그저 담담하게 지켜보는 것이다. 그런데 그렇게 해서는 작은 문제 하나라도 제대로 해결하기가 쉽지 않다. 농촌의 치열한 현실 속으로 들어가서, 무엇을 어떻게 바꾸어 나가야 할지 농민의 입장에서 처절하게 고민할 필요가 있다.벌써 20년 전의 일이다. 농업경제학을 연구한다는 자가 책상머리에만 머물러 있어서는 곤란하다는 생각이 들었다. 우리나라 모든 시·군의 농촌을 다 둘러보아야겠다고 마음을 먹었는데, 10년이 지난 다음에야 그 목표를 이룰 수 있었다. 다만 한 곳을 가더라도 마을 농민들과 함께 밤이 새도록 토론을 하고, 농가에서 함께 숙식하며 고민거리를 나눴다. 그렇게 농민의 곁에서 지내다 보니, 아주 놀라운 사실을 자연스럽게 깨닫게 되었다. 우리 농촌에는 아름다운 꿈을 지닌 농민들이 정말 많았다. 조금만 관심을 가지고 그 분들이 필요로 하는 것을 함께 한다면 훌륭하게 성장할 수 있는 분들이 어느 농촌지역이든 틀림없이 계셨다. 그 분들이 최선을 다하는 것도 곁에서 지켜봤고, 끝내 그 꿈을 이뤄 가는 기쁨도 함께 나눌 수 있었다. 그 분들에겐 하나의 공통점이 있었는데, 그것은 바로 ‘꿈’이었다. 비록 넉넉하지 않더라도, 꿈이 있는 분들은 갖은 고난과 역경을 당당하게 이길 수 있었다.   꿈은 사람들에게 그런 열정과 에너지를 불어 넣는 놀라운 힘이 있었다. 누군가 한국농업의 미래를 묻는다면, 필자는 자신 있게 말해 줄 수 있다. ‘결국 사람이 희망이고, 꿈이 에너지’라고!  종종 한국농업이 전례 없는 위기에 처했다는 말을 듣는다. 소농(小農) 위주의 한국농업은 규모가 작아서 국제경쟁력이 떨어질 수밖에 없다는 것이다. 물론 농업의 여건이 훨씬 힘들어진 것이 사실이다. 하지만 ‘위기’ 그 자체보다 심각한 것은 어쩌면 한국농업을 위기로만 바라보는 우리들의 마음가짐일지도 모르겠다. 그대로 주저앉아서는 곤란하다. 오히려 그것을 계기로 삼아 한국농업의 발전에 적합한 새로운 형태의 경쟁력을 찾아야 할 것이다. 그것이 2013년 우리에게 주어진 과제이다.  ']"
3,"CJ제일제당, 세계 최초 비전기분해 방식 ‘천연 시스테인’ 대량생산기술 상용화",http://www.aflnews.co.kr/news/articleView.html?idxno=91618,2021.03.23,"['\n  팜넷은 농축수산물 소비의 불균형을 해소해 지역의 먹거리를 올바르게 소비자에게 공급하고자 2008년 11월 설립됐다. 지역의 참된 먹거리를 상품개발부터 국내유통, 해외유통 마케팅 등을 실행위주의 컨설팅을 통해 가치 있는 먹거리를 생산을 유도하는 한편 지역생산주체들이 자립적으로 사업을 영위할 수 있도록 노력하고 있다.  최태환 대표이사는 지역에서 가치 있는 먹거리 생산을 통한 연고사업 육성을 위해 많은 지자체가 노력하고 있지만 목표가 뚜렷하지 못하면 실패할 수밖에 없다며 입을 열었다.   최 대표는 “지역의 좋은 상품들이 많지만 목표가 명확하지 않은 상태에서 사업에 참여해 자신의 목소리와 지역논리가 중심이 되는 경우가 많다""며 ""산관학연 등 아무리 구조가 좋다고 해도 목표가 뚜렷하지 않다면 지역 먹거리는 성공하기 힘들다”고 지적했다.  팜넷은 2009년 13개 농협과 배 수출을 위한 컨설팅을 진행했지만 각각의 이해관계로 인해 제대로 운영되지 않아 결국 시작 1년 만에 사업의 막을 내릴 수밖에 없었다.  이후 최 대표와 직원들은 지역에 사례위주의 강의를 통해 지역 먹거리 사업이 나아갈 방향을 제시하고 있으며 향토산업육성 사업단 등과의 협력을 통해 국내유통과 해외유통 등을 위한 컨설팅을 진행하고 있다.  그는 “농축수산물 및 식품 컨설팅에 새로운 모델을 제시하고 우리나라농업이 글로벌 네트워크에 진입할 수 있는 발판을 마련하는 한편 구매담당자로 구성된 국내 네트워크와 해외 제휴 네트워크를 통해 한 단계 발전된 마케팅을 제공할 수 있는 것이 팜넷의 강점”이라고 밝혔다.   실제 이 영향으로 지역 먹거리 사업과 관련된 컨설팅에 대한 문의가 끊임없이 이어지고 있으며 전국에서 강의요청도 쇄도하고 있는 것으로 나타났다.   팜넷은 현재 강원 영월 주천두부, 제주 구좌당근, 서천 김의 생산단계부터 가공, 유통에 이르기까지의 원스톱 컨설팅을 담당하고 있다.  최 대표는 “앞으로 지역 농축산물의 우수성을 국내와 해외에 알리는 한편 국내외 트렌드를 각 지역에 발 빠르게 전달해 지역 먹거리가 더욱 발전할 수 있도록 노력할 것”이라며 “앞으로 농축수산물 시장 내에서 지역과 유통채널이 서로 윈윈(win-win)할 수 있는 체계를 구축하고 지역 연고사업 육성과 향토산업육성 사업단 등을 통해 지역의 목소리가 제대로 담길 수 있도록 매진하겠다”고 밝혔다. ']"
4,식품저널 2021년 2월호 기사보기,http://www.aflnews.co.kr/news/articleView.html?idxno=91427,2021.03.05,"['\n도드람양돈농협(조합장 이영규)은 지난달 25일 긴급 이사회를 개최하고 사료가격을 한시적으로 동결키로 결정했다.이번 결정은 원가상승 요인이 있는 상황임에도 불구하고 시행된 것이어서 이중고를 겪고 있는 양돈농가에는 단비가 될 것이라는 게 도드람측의 설명이다.도드람양돈농협은 사료 공급원가를 공개하는 특유의 정책으로 양돈농가의 저렴한 사료 이용을 이끌고 있다.이영규 조합장은 “이번 조치로 조합원 농가들이 동결된 가격으로 사료를 이용할 수 있게 됐다”면서 “앞으로도 양돈인이 만든 조직인 도드람양돈농협은 농가의 고통을 덜어드리기 위해 노력할 것”이라고 밝혔다.한편 도드람양돈농협과 자회사인 도드람푸드, 도드람양돈서비스, 도드람LPC, 도드람유전자연구소, 디에스피드, 도드람FC는 지난달 26일 대전 유성호텔에서 ‘2013년도 사업추진 결의대회’<사진>를 개최했다.이날 도드람 계열사업체 직원 250여명은 팀빌딩 프로그램을 함께하며 올해 도드람이 협동조합형 패커로 성장하는데 앞장서 협동조합으로서의 가치를 전파하는 대표가 되고, 사업목표를 조기에 달성해 나가기로 다짐했다. ']"
5,[신상품] 롯데제과 ‘빈츠 카페모카’ 동원F&B-투썸플레이스 ‘비욘드미트 파니니’ 외,http://www.aflnews.co.kr/news/articleView.html?idxno=91286,2021.02.24,"['\n  강원도농업기술원(원장 안진곤)은 지난 18일 기술원 대회의실에서 ‘2013년 농사시험연구사업 과제계획 심의회’를 개최했다.  이날 심의회에서는 연구 분야별 대학교수, 전문농업인, 관련 산업체 대표 등 심의위원과 연구·지도 관계공무원 100여명이 참석한 가운데 1, 2단계 심의과정을 거친 작물, 원예, 환경농업 등 5개 분야 150여 과제에 대한 연구계획을 심의했다.  강원도농업기술원 관계자는 “연구결과가 신속히 영농현장에 접목될 수 있도록 힘써 농업인의 현장애로기술 해결과 강원농업 발전에 기여할 수 있도록 적극 노력하겠다”고 밝혔다. ']"
6,[신상품] CJ제일제당 ‘비비고 베이컨김치볶음밥’ 롯데푸드 ‘바른두유 검은콩’ 외,http://www.aflnews.co.kr/news/articleView.html?idxno=91231,2021.02.22,"['\n  -차례 · 선물 · 세뱃돈 총 65만원 선  올해 가구당 차례비용과 선물·세뱃돈 등의 명목으로 지출할 총 금액은 65만원인 것으로 나타났다.  대한상공회의소는 최근 전국 주부 350명을 대상으로 설 소비계획에 대해 조사한 결과 올해 지출규모를 지난해보다 줄일 것이라는 응답이 전체 44.3%였다고 지난 17일 밝혔다.  또한 지난해와 비슷할 것이라는 대답과 확대할 것이라는 응답은 각각 44.9%와 10.8%로 알려졌다.  주부들은 설 소비를 줄이겠다는 이유로 물가상승(41.9%)을 가장 많이 꼽았고 이어 실질 소득감소(21.9%), 가계 부채 부담(20.6%), 경기 불안 지속(12.3%), 고용불안(1.9%)순이었다.  응답 주부 중 72.3%는 선물세트 구매에 평균 34만원을 비용으로 책정했으며 선호하는 선물의 가격대로는 5만원 미만의 저가제품(34.8%)을 주로 꼽았다.  선호하는 선물품목은 상품권(22.1%), 과일 등 농산물세트(16.6%), 가공식품(13.4%), 건강식품(13%) 순이었다.  주부들은 제수준비와 관련해서 ‘준비하지 않을 것’이라는 응답이 57.7%로 ‘준비한다’(42.3%)는 응답보다 많았는데 차례상을 준비하는 주부들은 비용으로 평균 30.9만원을 지출할 계획인 것으로 집계됐다.   주부들은 제수용품 구매를 대형마트(48.6%)에서 가장 많이 하겠다고 밝혔으나 전통시장을 이용할 것이라는 응답도 44.6%나 됐다.  김경종 대한상의 유통물류진흥원장은 “최근 세계경기 침체와 가계부채, 물가인상 등으로 소비심리가 위축됨에 따라 이번 설에도 소비활성화는 기대하기 어려울 것”이라며 “정부 주도의 물가안정책과 더불어 기업들도 저가상품 라인업을 늘려 침체된 설 경기에 활력을 불어넣어야 한다”고 밝혔다.  ']"
7,이정태 뷸러 한국지사 대표 “한국 맞춤형 대체육 제조 솔루션 제공”,http://www.aflnews.co.kr/news/articleView.html?idxno=76722,2021.02.03,"[""\n  - 농기평, 수출연구사업단 중간평가 결과     선인장·돼지고기 사업단 ''퇴출''  정부가 농식품 해외시장 개척을 위한 기술개발지원을 위해 추진하고 있는 11개 농식품수출연구사업단 중 ‘선인장수출연구사업단’과 ‘돼지고기수출연구사업단’이 퇴출됐다.  농림수산식품기술기획평가원(이하 농기평)은 최근 수출연구사업단 및 세부과제의 계속지원 여부 판단을 위해 중간평가를 실시했으며 평가결과 하위 20% 사업단과 사업단별 세부과제 중 하위 20%를 중단조치하기로 했다고 밝혔다.  11개 연구사업단과 135개 세부과제에 대한 △사업수행 목표 및 범위의 타당성 △당해 연구실적 및 운영실적 충족도 △차년도 연구계획의 적절성 △연구수행 목표 및 범위의 타당성 △연구기대효과에 대한 만족도 △사업의 특성 등의 평가 결과 선인장과 돼지고기수출연구 등 2개 사업단과 계속지원대상인 9개 사업단의 19개 세부과제가 지원중단 조치를 받게 됐다.    농기평은 이번 중간평가 결과에 따라 우수 연구사업단에는 인센티브를 부여하고 지원이 중단 조치된 사업단내 세부과제에 대해서는 평가결과를 반영해 일부과제를 일반과제로 전환, 지속 지원한다는 방침이다.    농산품수출연구사업단은 2008년 농림기술개발사업 지정공모형 과제로 수출 유망 농산품목을 선정, 품목당 연간 20억원씩 5년간 종합적인 연구개발(품종육성·병해충방제·수확후관리·가공·장기저장 운송기술·해외시장 조사 및 소비자 맞춤형 상품개발 등)을 지원하는 프로젝트로 시작했다.   하지만 정부 조정심의 결과 농촌진흥청의 해외시장개척지원사업이나 품목별 연구과제의 중복문제가 제기되면서 초년도 사업은 13개 품목, 115억원의 사업비로 축소 책정됐다. 이후 1년차 사업평가를 통해 2개 사업단이 퇴출됐으며 이번 2차년도 평가결과를 통해 2개 사업단이 추가로 퇴출된 것이다.\t\t""]"
8,"식약처, 포스트 코로나 시대 ‘식품 안전망’ 재설계…미래 식품산업 지원",http://www.aflnews.co.kr/news/articleView.html?idxno=76696,2021.02.01,"['\n - 수요줄고 출하량도 ↓…산지가격 약세  설 명절이후 전복 수요가 감소함과 더불어 출하량이 전월보다 감소할 것으로 예상되면서 산지가격은 약보합세가 전망됐다. 굴 역시 생산량이 감소할 것으로 보이지만 소비 둔화로 산지가격 하락세가 예상됐다. 한국해양수산개발원 수산업관측센터 2월 관측 내용을 정리해봤다.  #전복  설 이후 전복 수요 감소로 당분간 산지가격은 약보합세를 보일 전망이다.  2월 전복 출하량은 지난달 886톤보다 감소할 것으로 예상됐다. 지난달에는 한파 등의 영향으로 출하여건이 좋지 못했음에도 불구하고 설 명절로 인한 전복 수요와 공급이 모두 늘어났지만 설 이후부터는 지속적인 수요 감소가 예상됐기 때문이다. 하지만 오는 3월부터는 출하 가능 물량이 증가함과 더불어 봄철 공급이 늘어나 출하량이 다시 회복될 전망이다.  2월의 수요 감소와 3월 공급 증가가 예상됨에 따라 산지가격은 3월까지 약보합세를 나타낼 것으로 예상됐다. 이에 따라 10마리 크기 기준 kg당 산지가격은 4만5000원대를 형성할 것으로 전망됐다. 아울러 지난달에는 설 명절 수요증가와 구제역 등으로 인한 축산물 소비 위축의 영향으로 산지가격 상승이 예상됐지만 완도산 활전복 산지가격이 kg당 8마리 크기가 5만6500원, 10마리 크기가 4만6000원에 그치는 등 그 상승폭이 예상처럼 크지는 않았던 것으로 조사됐다. 또 도매가격도 10마리 크기기준 kg당 가격이 하남활어도매시장에서 4만6000원, 인천활어도매시장에서 5만원으로 나타나는 등 지난달 전복가격은 전월과 같거나 소폭 하락했던 것으로 나타났다.  반면 수출은 호조세가 예상됐다. 지난달에는 kg당 단가 37.4달러(4만1933원)에 전년 동월대비 94.9% 증가한 76톤이 수출됐다. 2월에는 일본 내 전복 수요 회복과 더불어 국내 가격도 하락할 것으로 예상돼 수출량이 지난달보다 증가할 것으로 전망됐다. 3월에도 일본 주요 산지 금어기가 시작됨에 따라 한국산 전복 수요가 늘어날 것으로 예상돼 수출 증가세를 이어갈 것으로 예상됐다.  #굴  2월 굴 생산량은 지난달보다 줄어들 것으로 예상됐지만 소비 둔화로 산지가격은 하락세가 예상됐다. 하지만 지난해 같은 기간에 비해서는 생산량과 산지가격 모두 신장된 것으로 조사됐다.  지난달 굴 생산량은 6164톤으로 전월 6611톤대비 6.8%감소했지만 전년 동월 5395톤에 비해서는 14% 증가한 것으로 나타났다. 이에 따라 2월 생산량도 지난달보다는 감소할 것으로 예산됐지만 지난해 같은 기간보다는 다소 많을 것으로 예상됐다. 이는 특히 이 시기에 주로 생산되는 비단련산의 양성상태가 좋아 개체 당 중량이 증가할 것으로 예상됐기 때문이다.  산지가격도 굴 소비 둔화로 지난달보다는 하락할 전망이지만 가공제품 수출 원료가 되는 굴 수요 증가로 지난해 같은 기간보다는 다소 높게 형성될 것으로 예상됐다. 지난달 굴 kg당 산지 평균가격은 6658원으로 전월 7451원보다는 10.6% 하락한 반면 전년 동월보다는 26.5% 상승했던 것으로 나타났다. 이는 설 명절로 인한 수요 증가와 구제역 등의 영향으로 육류 소비가 위축되면서 굴 소비가 지난해 같은 기간보다 증가한 것으로 분석됐기 때문이다.  이같은 영향으로 도매시장 가격도 지난해 같은 기간보다 높게 형성됐다. 지난달 노량진수산시장에서는 kg당 평균 7515원에 거래가 이뤄져 전년 동월보다 18.7% 높은 가격 수준을 나타냈으며 농수산물유통공사의 지역별 조사에서도 전국 평균도매시장 가격이 전년 동월대비 13.9% 상승한 kg당 9906원으로 조사됐다.  하지만 국내 가격 하락으로 수출은 지난달보다 호전될 전망이다. 지난달 굴 수출량은 566톤이었지만 국내 굴 가격이 높게 형성되면서 가공용 원료굴 수급에 어려움을 겪었고 냉동굴은 해외수요가 많았음에도 불구하고 가격부담으로 가공생산이 중단되는 등 납품시기를 미뤄야 했었다. 2월에는 국내 가격하락과 더불어 중단됐던 가공제품 생산이 재개될 것으로 예상되며 해외 수요도 지난해 같은 기간보다 많을 것으로 예상돼 수출이 지난달보다 증가할 전망이다. ']"
9,"농심, 비건 브랜드 ‘베지가든’ 사업 본격화",http://www.aflnews.co.kr/news/articleView.html?idxno=76507,2021.01.12,"['\n구제역 차단을 위한 소독제 사용시 반드시 18~43℃ 범위내에서 사용해야 한다는 지적이다.한국양돈수의사회에 따르면 구제역이 장기화되면서 각 도로망을 비롯해 대부분의 농장에서 철저한 소독이 강조되고 있지만 대량으로 살포되는 소독제에도 불구하고 소독의 효과가 떨어지고 있다면서 효율적인 소독 방법과 소독제 사용요령을 제시했다.양돈수의사회는 우선 소독제 사용시 유의할 사항으로 소독온도를 준수하는 것이 중요하다고 밝혔다.모든 소독제가 최적의 효과를 낼 수 있는 적정온도는 18~43℃ 범위여서 겨울철 소독조가 외부나 창고에 있을 경우 소독액 자체의 온도가 떨어질 가능성이 커 소독액이 따뜻하게 유지될 수 있는 물 중탕용 열선(일명 돼지꼬리), 가스순간온수기, 보온등과 같은 시설이 필요하다.이 같은 보온대책이 없을 경우 소독 효과는 미미하다는 게 양돈수의사회의 설명이다.이와 함께 소독제는 미생물(바이러스, 세균, 원충, 곰팡이)에 따라 소독효과가 다르게 나타날 수 있어 소독제의 적절한 선택이 요구되고 있다.예를 들어 식초(4% acetic acid)는 구제역에 효과가 좋지만 마이코플라즈마균 일부는 살멸하지 못하고 4급 암모늄, 페놀, 요오드, 알코올 등은 구제역에 효과가 거의 없기 때문에 다른 제제를 사용하는 것이 좋다.양돈수의사회는 현재 산성 제제들과 염기성 제제들은 1차적 구제역 소독제 대상에 들어가지만 농장에서 보유한 소독제가 아니라 구제역에 효율적인 소독제를 확보하는 것이 중요하고 주위의 전문 산업동물 수의사(양돈, 양계, 대가축진료)에게 자문을 받을 것을 강조했다.또 소독제 선택시 일반적으로 광범위한 효과가 있으면서도 피부와 옷의 손상이나 독성 여부 등을 고려해 되도록 이상이 없는 제제를 선택할 것을 농가에 당부했다. ']"
