,법정동,축종,발생두수(마리)
0,3171036023,소,8
1,4721036022,벌,1
2,4375032028,소,1
3,4617040026,오리,0
4,4680034030,오리,0
5,4680034030,오리,0
6,4715040024,소,2
7,4313043024,닭,0
8,4792038021,소,5
9,4313043024,닭,0
10,4617043027,닭,0
11,4882035025,소,1
12,4311431033,소,1
13,4679025029,벌,1
14,4691031023,소,2
15,4817037026,소,9
16,4827038031,소,17
17,4311431033,소,1
18,4376032023,소,1
19,4165036023,닭,0
20,4785036029,소,5
21,4481040023,소,4
22,4273031034,소,8
23,4723025038,소,8
24,4679037027,소,5
25,4479033036,소,2
26,4684032037,소,1
27,4213036024,닭,0
28,4182032522,소,1
29,4691031023,소,1
30,4150025024,닭,0
31,4822033025,칠면조,0
32,4423035030,소,2
33,4817043024,소,8
34,4688034032,소,1
35,4423033027,소,1
36,4521033030,소,1
37,4713025626,소,3
38,4480034036,소,3
39,4887033028,소,1
40,4376040023,오리,0
41,4159036025,닭,0
42,4812131025,소,5
43,4715041033,소,13
44,4721034027,오리,0
45,4817036024,소,1
46,4617035022,소,5
47,4122033027,닭,0
48,4817043024,소,1
49,4150032023,닭,0
50,4150025333,닭,0
51,5011025025,오리,0
52,4617033021,오리,0
53,4122025040,닭,0
54,4580031026,오리,0
55,4684034026,소,1
56,4684025030,소,1
57,4684025026,소,12
58,4377032022,오리,0
59,4686033024,소,3
60,4165035022,닭,0
61,4683034032,오리,0
62,4376032025,오리,0
63,4574033527,소,1
64,4684032025,소,10
65,4686034027,소,2
66,4617036032,소,5
67,4313040027,오리,0
68,4521033030,소,1
69,4150037026,닭,0
70,4155025025,닭,0
71,4146135026,닭,0
72,4155039032,닭,0
73,4711332030,닭,0
74,4684025026,소,14
75,4150038022,닭,0
76,4684025624,소,1
77,4579032030,오리,0
78,4155025030,닭,0
79,4827025033,소,15
80,4155031031,닭,0
81,4311431039,소,1
82,4150025031,닭,0
83,4579032029,오리,0
84,4812131036,소,5
85,4678038028,소,1
86,4678038028,소,1
87,4155039034,닭,0
88,4150025031,닭,0
89,4165034028,닭,0
90,4148037021,닭,0
91,4518038026,소,2
92,4686036021,오리,0
93,4481040030,소,15
94,4159040022,닭,0
95,4686036021,소,10
96,4684025626,닭,0
97,4413325625,닭,0
98,3171025930,소,1
99,4150025030,닭,0
100,4827025033,소,4
101,4481025335,소,2
102,4684025331,소,1
103,4827025030,소,3
104,4827025033,소,1
105,4686037023,소,1
106,4148025323,소,1
107,3171036023,소,7
108,4817037021,소,6
109,4686034026,소,1
110,4679037027,소,1
111,4480039026,닭,0
112,4518036026,소,5
113,4873032036,소,2
114,4146135025,닭,0
115,4377036027,닭,0
