,title,link
0,"변정수, 손 소독제 팔더니 코로나19 확진 [전문]",https://www.hankyung.com/life/article/202104266544H
1,"""육군훈련소, 코로나 대응한다고 열흘간 샤워·화장실 제한""",http://yna.kr/AKR20210426041900004?did=1195m
2,경기 회복 이끄는 ‘코로나 보복소비’…지속 가능성엔 물음표,http://www.hani.co.kr/arti/economy/economy_general/992629.html
3,코로나 신규 확진 500명… 엿새 만에 500명대,https://health.chosun.com/site/data/html_dir/2021/04/26/2021042600984.html
4,작년 코로나에 관광레저 소비지출 22% 감소…여행업 84%↓,http://yna.kr/AKR20210423137900030?did=1195m
5,"美·유럽, '코로나 지옥' 인도에 의료 지원 나선다",http://news.mt.co.kr/mtview.php?no=2021042606435698987
6,[전문]홍남기 총리대행 코로나19 백신 대국민 담화문,https://view.asiae.co.kr/article/2021042610174592911
7,랑방 전성기 이끈 디자이너 엘바즈 코로나19로 사망,http://yna.kr/AKR20210426000800081?did=1195m
8,"유럽, '코로나19 확진자 폭증' 인도에 긴급 지원 준비(종합2보)",http://yna.kr/AKR20210425060952098?did=1195m
9,[종합]어제 코로나 신규확진자 500명…주말 영향 엿새만에 500명대,http://www.fnnews.com/news/202104260944497577
10,랑방 전성기 이끈 디자이너 엘바즈 코로나19로 사망,http://yna.kr/AKR20210426000800081?did=1195m
11,"정치권, 윤여정 오스카 수상에 ""코로나19로 힘든국민에 단비""",http://yna.kr/AKR20210426077300001?did=1195m
12,"권덕철 ""코로나19 백신 충분히 확보…러시아 백신도입 필요없어""",http://yna.kr/AKR20210426033400530?did=1195m
13,"홍남기 ""코로나백신 1억명분 확보…다음달 日150만명씩 접종""",http://news.mt.co.kr/mtview.php?no=2021042609531571528
14,"전북도, 코로나19 방역수칙 위반 업소 16곳 적발",http://news.tf.co.kr/read/national/1856827.htm
15,코로나19 신규 확진자 500명…6일만에 500명대,http://www.hani.co.kr/arti/society/health/992560.html
16,작년 코로나에 관광레저 소비지출 22% 감소…여행업 84%↓,http://yna.kr/AKR20210423137900030?did=1195m
17,'코로나 쓰나미' 인도 일일 확진자 35만명 돌파…또 사상 최다(상보),https://www.news1.kr/articles/?4286770
18,경남 코로나 확진자 18명 추가 발생…누적 3727명,http://www.busan.com/view/busan/view.php?code=2021042614095576487
19,"미, 코로나19 급증 인도에 백신 원료 지원…각국도 도움 나서",http://www.hani.co.kr/arti/international/international_general/992550.html
20,코로나가 도로 교통량도 바꿔…2012년 이후 처음 감소,https://www.donga.com/news/article/all/20210425/106601781/1
21,‘코로나 집콕’ 작년 교통량 8년만에 감소… 버스는 39%↓,https://www.donga.com/news/article/all/20210426/106605381/1
22,"""14억 인도, 코로나에 침몰""…산소통 가격 암시장서 10배로 치솟아",https://news.joins.com/article/olink/23638399
23,"[2보] 코로나19 어제 500명 신규확진, 주말-휴일 영향 6일만에 500명대",http://yna.kr/AKR20210426026900530?did=1195m
24,"셀트리온, '코로나19 치료제' 박차...""안전성 특이사항 無""",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202104260062&t=NN
25,"변정수, 코로나 확진 ""가족은 음성…스케줄 중단 후 격리""",https://news.joins.com/article/olink/23638615
26,"러 코로나백신 허가신청시 식약처 ""AZ·얀센 백신 절차로 검증""",http://yna.kr/AKR20210425048200017?did=1195m
27,오늘(26일)부터 경찰·소방 등 사회필수인력 코로나 백신 맞는다,http://moneys.mt.co.kr/news/mwView.php?no=2021042510238034607
28,변정수 확진에 연예계 또 방역비상…코로나19 경계경보[종합],http://star.mk.co.kr/new/view.php?mc=ST&year=2021&no=399657
29,"정부, 오늘 오전 ‘코로나19 백신’ 대국민 담화",http://news.kbs.co.kr/news/view.do?ncd=5170797&ref=A
30,[단독]코로나19 때문에 국제결혼까지 막힌 농촌 늦깎이 총각들,https://news.imaeil.com/Society/2021042216191764703
31,"경찰, 코로나19 백신 접종 시작…경찰청장 ""접종 참여, 사회적 책무""",http://www.fnnews.com/news/202104261147285725
32,"당정 ""코로나 백신, 야간·주말접종 추진..언제든 접종 가능""",http://www.fnnews.com/news/202104261140339681
33,"""코로나 폭증 인도 돕자""…소매 걷은 세계 각국(종합)",http://www.newsis.com/view/?id=NISX20210426_0001419095&cID=10101&pID=10100
34,코로나19 500명 신규 확진…주말 검사 감소 영향,http://www.joseilbo.com/news/news_read.php?uid=422279&class=33&grp=
35,작년 보험사 해외점포 순익 538억원…코로나 여파에 35%↓,http://yna.kr/AKR20210426063500002?did=1195m
36,26일 코로나19 확진자 엿새 만에 500명대,https://www.pressian.com/pages/articles/2021042610020792615?utm_source=naver&utm_medium=search
37,코로나 원격수업 1년 쇼크… “중위권 학생이 사라졌다”,https://www.seoul.co.kr/news/newsView.php?id=20210426500099&wlog_tag3=naver
38,"이란, 자체 개발 코로나 백신 대량생산 시작",https://biz.chosun.com/site/data/html_dir/2021/04/25/2021042501334.html?utm_source=naver&utm_medium=original&utm_campaign=biz
39,"이라크, 코로나 치료 병원 화재… 최소 82명 사망",https://www.donga.com/news/article/all/20210426/106605315/1
40,"[특징주]휴마시스, 코로나 자가검사키트 조건부 허가에 '급등'",http://www.edaily.co.kr/news/newspath.asp?newsid=01548166629020056
41,코로나19 이후 중학생은 ‘학력 양극화’…고교생은 ‘학력 저하’,http://news.kbs.co.kr/news/view.do?ncd=5171176&ref=A
42,공군 사천 훈련비행단 8명 코로나19 확진…1600명 검사,http://www.newsis.com/view/?id=NISX20210425_0001418928&cID=10301&pID=10300
43,"코로나 이후 줄어든 중위권 고교생, 하위권으로 추락했다",http://www.hani.co.kr/arti/society/schooling/992588.html
44,"정부 ""코로나 백신 도입 늘어나도…개인 선택권 부여 어려워""",http://www.edaily.co.kr/news/newspath.asp?newsid=01958166629020056
45,美 얀센 코로나19 백신 접종 재개…15명 중 10명 찬성표 던져,https://www.hankyung.com/international/article/2021042645597
46,코로나19 신규확진 500명,http://sports.khan.co.kr/news/sk_index.html?art_id=202104261008003&sec_id=560101&pt=nv
47,‘코로나19’ 어제 500명 신규확진...주말 휴일 영향 6일 만에 500명대,https://biz.sbs.co.kr/article_hub/20000012953?division=NAVER
48,"홍남기 “코로나 백신, 충분한 물량 안정적으로 확보”",http://news.kmib.co.kr/article/view.asp?arcid=0015778153&code=61111111&cp=nv
49,"'침묵모드' 고민정 본회의 불참사유는? ""코로나 자가격리 중""",http://yna.kr/AKR20210425026600001?did=1195m
50,"제주도, 코로나19 가족돌봄비용 긴급지원",http://news.tf.co.kr/read/national/1856707.htm
51,'코로나'로 위축된 화장품 소비 회복세…롯데백 '코스메틱 페어',https://www.jnilbo.com/view/media/view?code=2021042614484919308
52,김해에서 코로나19 확진 3명…경남도내 누적 3709명,http://www.busan.com/view/busan/view.php?code=2021042609512483939
53,"'코로나 환자 치료' 이라크 병원서 대형 화재…""80여명 사망"" [종합]",https://www.hankyung.com/international/article/2021042645247
54,바그다드 병원에 화재…코로나 환자 등 82명 사망,http://www.hani.co.kr/arti/international/arabafrica/992527.html
55,보험사 재무건전성 지표 하락…코로나19에 금리변동,http://www.edaily.co.kr/news/newspath.asp?newsid=02305846629020056
56,"수젠텍, 현장진단용 코로나19 신속 항체진단키트 美 FDA 승인",https://www.hankyung.com/it/article/202104265377i
57,"군, '코로나 사태' 1년만에 장병 격리 환경개선 지시",http://www.edaily.co.kr/news/newspath.asp?newsid=02112326629019728
58,"코로나 신규 확진자, 오후 9시까지 463명…어제보다 122명↓",https://biz.chosun.com/site/data/html_dir/2021/04/25/2021042501323.html?utm_source=naver&utm_medium=original&utm_campaign=biz
59,"문 대통령, 27일 노나백스 CEO 만나 코로나19 백신 협력 논의",https://daily.hankooki.com/lpage/politics/202104/dh20210426155714137450.htm?s_ref=nv
60,공군 사천 훈련비행단서 8명 코로나 확진…1천600명 검사중(종합),http://yna.kr/AKR20210425031651504?did=1195m
61,“코로나19 장기화 예상…CMO·자가진단키트 기업 주목해야”,https://www.hankyung.com/it/article/202104264617i
62,"미·중, '코로나 지옥' 인도 지원 방안 고심",https://www.ytn.co.kr/_ln/0104_202104252117586959
63,"도쿄올림픽-패럴림픽 선수단, 코로나19 백신 접종",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002738369&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news
64,"""日, 올림픽 선수 등 코로나 방역수칙 위반 시 자격 박탈""",https://www.ytn.co.kr/_ln/0104_202104251302414690
65,코로나 충격파‥보험사 해외순익 34.8% 급감,http://www.edaily.co.kr/news/newspath.asp?newsid=02296006629020056
66,"유은혜 사회부총리, 코로나19 검체 보관",http://www.newsis.com/view/?id=NISI20210426_0017389805
67,"코로나19 시대, 양주 매출 고공행진 왜?",http://www.sportsseoul.com/news/read/1035971?ref=naver
68,"식약처, 노바백스 코로나19 백신 허가 사전상담 중",http://yna.kr/AKR20210426068300017?did=1195m
69,"'코로나19 반사이익' GS홈쇼핑, 1분기 영업익 전년비 16.6% ↑",http://moneys.mt.co.kr/news/mwView.php?no=2021042615508053182
70,"“2분 만에 검사 완료, 1시간 뒤 문자 통보”…서울대 ‘코로나19 선제검사’",http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202104261418001&code=940100
71,[광주 북구소식] 코로나19 극복 '힐링투어' 운영,http://yna.kr/AKR20210426125800054?did=1195m
72,"셀트리온, 코로나 치료제 ‘렉키로나’ 글로벌 임상 3상 투약 완료",https://health.chosun.com/site/data/html_dir/2021/04/26/2021042600829.html
73,코로나19 환자 폭증한 인도...의료용 산소 구하기 '사투',https://www.ytn.co.kr/_ln/0104_202104260436427443
74,코로나19 신규확진 644명…닷새만에 700명 아래로,http://news.tvchosun.com/site/data/html_dir/2021/04/25/2021042590003.html
75,코로나 위기·국정혼란 탓에 브라질 대통령 탄핵 위기,http://www.fnnews.com/news/202104261318499319
76,"권덕철 장관 ""국산 코로나19 백신 이르면 올해 안에 허가""",https://view.asiae.co.kr/article/2021042610382852519
77,韓특허출원 코로나에도 늘었다…美·日·유럽 ↓,http://www.fnnews.com/news/202104231339033521
78,"인천공항공사, ""자외선 살균으로 화물 속 코로나19 잡는다""",https://news.joins.com/article/olink/23638333
79,코로나에도 웃은 카드사… “충당금 줄어드니 대박이네”,http://moneys.mt.co.kr/news/mwView.php?no=2021042615458078368
80,코로나19 신규 환자 5백 명...국내 발생 469명 해외유입 31명,https://www.ytn.co.kr/_ln/0103_202104260957046177
81,해군이어 공군까지…군 잇단 코로나 집단감염에 바짝 '긴장',http://yna.kr/AKR20210425039400504?did=1195m
82,코로나19 백신 접종 뒤 사망 2명 추가…총 58명,http://news.tf.co.kr/read/life/1856672.htm
83,코로나 여파 어디까지…‘계룡세계군문화엑스포’ 1년 더 연기,http://news.kmib.co.kr/article/view.asp?arcid=0015781011&code=61122018&cp=nv
